ride_type,distance_km,time_of_day,day_type,demand_level,traffic_condition,weather_condition,pickup_zone,base_fare,surge_multiplier,final_fare,ride_timestamp
Taxi,27.65,Early Morning,Weekend,Medium,Moderate,Storm,Metro Station,381.8,1.2,447.45,2025-12-07 03:03:41.102675
Taxi,31.88,Night,Weekday,Medium,Moderate,Clear,Commercial,432.56,1.15,486.52,2025-10-15 17:03:41.102875
Bike,37.08,Evening,Weekend,Very High,Moderate,Cloudy,Residential,242.48,1.5,356.31,2026-01-05 08:51:41.103054
Taxi,15.7,Evening,Weekday,High,Moderate,Clear,Commercial,238.4,1.3,304.1,2026-01-24 11:57:41.103254
Bike,48.2,Night,Weekday,High,Moderate,Rainy,Commercial,309.2,1.43,431.7,2025-12-08 03:28:41.103430
Taxi,28.31,Early Morning,Weekday,Low,Heavy,Clear,Metro Station,389.72,1.1,436.98,2025-11-18 03:24:41.103627
Bike,41.47,Night,Weekend,Medium,Moderate,Rainy,IT Park,268.82,1.28,330.53,2025-10-03 21:14:41.103794
Taxi,41.82,Evening,Weekend,Very High,Light,Cloudy,Airport,551.84,1.6,900.36,2025-10-17 06:51:41.103960
Taxi,40.36,Afternoon,Weekday,Medium,Heavy,Cloudy,Airport,534.32,1.2,628.54,2025-11-02 06:46:41.104127
Taxi,41.44,Night,Weekday,Very High,Light,Cloudy,Commercial,547.28,1.5,782.73,2025-09-16 23:07:41.104323
Bike,42.25,Morning,Weekday,Low,Heavy,Clear,Airport,273.5,1.2,338.01,2025-10-14 11:19:41.104492
Bike,28.2,Afternoon,Weekday,High,Moderate,Clear,Residential,189.2,1.2,227.01,2025-09-06 14:02:41.104658
Taxi,11.87,Night,Weekday,Medium,Light,Storm,Residential,192.44,1.3,246.76,2025-12-15 12:54:41.104823
Bike,24.01,Morning,Weekend,Medium,Light,Clear,Metro Station,164.06,1.05,165.98,2025-09-03 18:11:41.104988
Bike,29.4,Evening,Weekday,Very High,Moderate,Cloudy,Residential,196.4,1.45,273.01,2025-10-20 08:59:41.105160
Taxi,42.48,Night,Weekend,Medium,Heavy,Clear,Commercial,559.76,1.3,756.45,2025-11-02 16:35:41.105330
Taxi,9.7,Afternoon,Weekend,High,Moderate,Cloudy,IT Park,166.4,1.25,203.83,2025-12-22 11:20:41.105521
Taxi,10.94,Afternoon,Weekday,Low,Heavy,Clear,Commercial,181.28,1.1,201.44,2025-12-15 18:16:41.105739
Taxi,34.07,Afternoon,Weekend,Medium,Light,Cloudy,Metro Station,458.84,1.05,478.88,2025-11-05 20:48:41.105910
Bike,48.22,Evening,Weekend,Low,Heavy,Cloudy,IT Park,309.32,1.25,387.41,2025-11-19 22:03:41.106088
Bike,13.38,Night,Weekday,Low,Heavy,Cloudy,IT Park,100.28,1.25,120.71,2025-08-24 06:16:41.106284
Bike,40.74,Afternoon,Weekday,High,Heavy,Cloudy,IT Park,264.44,1.3,349.02,2025-12-11 07:12:41.106453
Taxi,24.28,Afternoon,Weekday,High,Light,Clear,Residential,341.36,1.2,403.79,2025-10-20 22:39:41.106621
Taxi,28.8,Afternoon,Weekday,Low,Light,Rainy,IT Park,395.6,1.08,425.71,2025-09-24 00:25:41.106790
Bike,29.42,Evening,Weekday,Very High,Moderate,Rainy,Residential,196.52,1.53,298.23,2026-01-28 17:07:41.106969
Bike,11.66,Morning,Weekday,Low,Light,Clear,Metro Station,89.96,1.0,94.03,2026-01-15 23:44:41.107140
Bike,44.96,Early Morning,Weekday,Low,Moderate,Clear,Commercial,289.76,1.0,276.53,2025-09-12 06:04:41.107307
Bike,2.48,Night,Weekday,Very High,Moderate,Clear,Airport,34.88,1.6,57.84,2025-09-03 13:23:41.107478
Bike,9.76,Night,Weekday,Medium,Moderate,Rainy,IT Park,78.56,1.23,97.71,2025-09-25 08:13:41.107646
Taxi,35.83,Early Morning,Weekday,Low,Light,Clear,Airport,479.96,1.1,543.89,2025-12-21 21:29:41.107814
Taxi,45.66,Morning,Weekday,Low,Light,Cloudy,Metro Station,597.92,1.0,619.93,2025-09-20 21:24:41.107987
Bike,5.42,Morning,Weekday,Medium,Moderate,Storm,Residential,52.52,1.15,60.58,2026-01-11 21:24:41.108155
Bike,40.43,Evening,Weekday,High,Light,Clear,Residential,262.58,1.3,334.44,2025-10-17 11:52:41.108349
Taxi,13.83,Evening,Weekend,High,Heavy,Clear,Commercial,215.96,1.45,317.41,2025-08-22 09:07:41.108517
Taxi,25.04,Early Morning,Weekend,Medium,Moderate,Cloudy,IT Park,350.48,1.05,353.04,2025-10-29 04:00:41.108684
Bike,16.24,Evening,Weekend,Low,Moderate,Rainy,IT Park,117.44,1.23,147.55,2025-09-26 19:18:41.108852
Taxi,8.18,Early Morning,Weekday,Low,Moderate,Clear,Metro Station,148.16,1.0,147.73,2025-10-31 09:38:41.109024
Taxi,11.09,Afternoon,Weekday,Low,Heavy,Cloudy,IT Park,183.08,1.1,195.71,2025-09-21 05:23:41.109190
Taxi,30.93,Morning,Weekday,Low,Moderate,Cloudy,Residential,421.16,1.0,436.04,2025-08-20 20:25:41.109354
Bike,4.73,Night,Weekend,Medium,Moderate,Rainy,Residential,48.38,1.28,59.64,2026-01-29 02:18:41.109531
Bike,34.29,Night,Weekday,Medium,Heavy,Clear,Metro Station,225.74,1.25,279.97,2026-01-07 19:51:41.109698
Taxi,35.34,Evening,Weekday,High,Light,Storm,Airport,474.08,1.55,708.81,2025-11-18 16:04:41.109876
Bike,8.26,Evening,Weekend,Medium,Light,Clear,Metro Station,69.56,1.15,77.42,2025-09-11 14:49:41.110065
Taxi,39.18,Night,Weekday,Very High,Heavy,Cloudy,IT Park,520.16,1.6,802.47,2025-08-16 22:04:41.110235
Taxi,43.25,Afternoon,Weekday,Very High,Heavy,Clear,Metro Station,569.0,1.45,795.43,2025-12-13 11:02:41.110402
Bike,34.33,Morning,Weekday,Low,Light,Cloudy,Airport,225.98,1.1,239.77,2025-11-07 06:06:41.110568
Bike,3.05,Afternoon,Weekday,Low,Light,Clear,Airport,38.3,1.1,42.74,2025-11-30 15:40:41.110798
